nome,artista,genero,titulo,duracao,lingua
molejo_cilada,Molejo,BR,Cilada,220,br
molejo_voltei,Molejo,BR,Voltei,189,br
rc_comoegrande,Roberto Carlos,BR,Como é grande o meu amor por você,186,br
rc_essecarasoueu,Roberto Carlos,BR,Esse cara sou eu,265,br
rc_ilegalimoral,Roberto Carlos,BR,"Ilegal, Imoral ou Engorda",192,br
rc_eusouterrivel,Roberto Carlos,BR,Eu sou terrivel,169,br
bezerra_da_silva_semente,Bezerra da Silva,BR,Semente,213,br
bikini_cavadao_tedio,Bikini Cavadão,BR,Tédio,175,br
caetano_veloso_haiti,Caetano Veloso,BR,Haiti,296,br
chico_buarque_construcao,Chico Buarque,BR,Construção,383,br
cidinho_e_doca_rap_da_felicidade,Cidinho e Doca,BR,Rap da Felicidade,311,br
djavan_sina,Djavan,BR,Sina,333,br
elis_regina_como_nossos_pais,Elis Regina,BR,Como Nossos Pais,290,br
fernanda_abreu_rio_40_graus,Fernanda Abreu,BR, Rio quarenta Graus,310,br
gabriel_o_pensador_cachimbo_da_paz,Gabriel o Pensador,BR,Cachimbo da Paz,329,br
gonzaguinha_lindo_lago_do_amor,Gonzaguinha,BR,Lindo Lago do Amor,249,br
jorge_vercilo_homem_aranha,Jorge Vercilo,BR,Homem Aranha,285,br
karametade_morango_do_nordeste,Karametade,BR,Morango do Nordeste,239,br
kid_abelha_pintura_intima,Kid Abelha,BR,Pintura Íntima,238,br
legiao_urbana_sera,Legião Urbana,BR,Será,149,br
lobao_radio_bla,Lobão,BR,Rádio Blá,290,br
martinho_da_vila_canta_canta_minha_gente,Martinho da Vila,BR,Canta Canta Minha Gente,153,br
raimundos_mulher_de_fases,Raimundos,BR,Mulher de Fases,212,br
raul_seixas_metamorfose_ambulante,Raul Seixas,BR,Metamorfose Ambulante,227,br
tim_maia_gostava_tanto_de_voce,Tim Maia,BR,Gostava Tanto de Você,251,br
